id,glo_food_type_id,name ,for_loss,for_maintain,size,cuisine,quantity,calarie,serving,weight,totaldietaryfibre,fat,protein,carbohydrates,carb_type,glycemic_index,carb_perc,fat_perc,protein_perc,cholestrol,sodium,calcium,iron,sugar,vitaminc,insolubledietaryfibre,insolublefibre,solubledietaryfibre,totaldietaryfibrebackup,totalmonounsaturatedfattyacids,totalpolyunsaturatedfattyacids,totalsaturatedfattyacids,totalsaturatedfattyacidsbackup,totaltransfat,high_on_which_macronutrient,raw,dish,m1,m2,m3,m4,m5_loss,m5_gain,m5_stable,summer,winter,autumn,dessert,snaks,nuts,drink,salad,yogurt,solid_meal,fruit,pulses,non_veg_gravy_items,grains_cereals,vegetable,dairy,poultary,seafood,pork,meat,lamb_mutton,beef,other_meat,egg,pulse,cereal_grains,wheat,fruits,vegetables,oils_and_fats,sugars,nut,diabetes,hyper_tension,osteoporosis,lactose_intolerance,gluten_intolerance,anaemia,hypothyroidism,pcod,reciepe,image_name,status_id
13,0,Aloo Chana Subzi,1,0,Katori,Generic,1,229.28,1,150,9.58,5.42,10.24,36.17,0,0,0,0,0,0,21.97,72.9,3.55,0,18.78,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,17.jpg,1
14,0,Aloo Chilli Dry Sabji,0,0,Katori,Generic,1,92.65,1,100,1.51,4.75,1.43,11.24,0,0,0,0,0,0,740.38,20.35,0.51,0,9.32,0,0,0,0,0.02,0.03,4.03,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,,1483702479_14.jpg,1
15,0,Aloo Chiwda,1,0,Katori,Generic,1,361.31,1,150,7.1,17.16,3.82,48.82,0,0,0,0,0,0,1922.79,151.81,3.43,0,22.79,0,0,0,0,0.47,0.08,14.41,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,20.jpg,1
16,0,Aloo Gajar Matar Subzi,1,0,Katori,Generic,1,323.68,1,150,9.8,20.09,5.08,32.4,0,0,0,0,0,0,1688.48,107.28,4.55,0,16.41,0,0,0,0,0.12,0.3,16.37,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,21.jpg,1
17,0,Aloo Gajar Subzi,1,0,Katori,Generic,1,274.91,1,150,10.59,11.21,4.63,40.17,0,0,0,0,0,0,2416.36,194.05,5.16,0,20.09,0,0,0,0,0.09,0.22,8.09,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,1479216227_21.jpg,1
18,\N,Aloo Gajar Rasedar,1,0,Katori,Generic,1,97.04,1,150,4.44,2.51,2.22,16.6,0,0,0,0,0,0,979.85,80.84,2.2,0,7.9,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,1483702600_18.jpg,1
19,0,Aloo Gobhi Ki Sabji,1,0,Katori,Generic,1,106.2,1,100,4,2.9,2.9,17.4,0,0,0,0,1,5.3,515.2,35,1.5,0,47.2,0,0,0,4,0,0,1.3,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,1483702643_19.jpg,1
20,0,Aloo Gobhi Matar Ki Sabji,1,0,Katori,Generic,1,250.77,1,150,10.62,10.72,7.09,32.16,0,0,0,0,0,0,688.31,108.38,2.89,0,60.6,0,0,0,0,0.16,0.14,8.43,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,1483702704_20.jpg,1
21,0,Aloo ka bharta,0,0,Katori,Generic,1,228.79,1,150,3.72,10.85,2.84,30.14,0,0,0,0,0,0,467.34,56.04,1.03,0,28.77,0,0,0,0,0,0,9.16,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,,27.jpg,1
22,0,Aloo Kali Mirch Ki Sabji,0,0,Katori,Generic,1,178.38,1,150,2.91,2.81,2.6,35.94,0,0,0,0,0,0,691.65,19.24,0.84,0,26.79,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,,29.jpg,1
